number,author,title,status,comment_count,reaction_count,reaction_heart_count,reaction_plusone_count,reaction_minusone_count,reaction_laugh_count,reaction_confused_count,reaction_hooray_count,created,updated,url
3847,ahsannaseem,Cloud driver throwing s3 access denied error,open,2,0,0,0,0,0,0,0,2019-01-14 17:50:46 UTC,2019-04-15 19:35:26 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3847
3845,nmnellis,Bake (Manifest) Overrides string interpolation,open,2,0,0,0,0,0,0,0,2019-01-14 14:25:09 UTC,2019-04-15 19:35:29 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3845
3839,rakewill,spin-redis-bootstrap.spinnaker does not resolve in DNS in Kubernetes cluster,open,2,0,0,0,0,0,0,0,2019-01-10 21:04:01 UTC,2019-04-15 19:40:30 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3839
3825,jolt23,Enhance DC/OS cloud provider to use marathon file for cluster configuration,open,2,0,0,0,0,0,0,0,2019-01-07 21:47:49 UTC,2019-04-07 21:55:20 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3825
3794,brunocriado,Unable to create a new Firewall using ECS Provider,open,2,0,0,0,0,0,0,0,2019-01-02 16:13:50 UTC,2019-04-02 17:51:18 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3794
3755,ricklagerweij,Front50 json filenames difference in AWS/GCP,open,2,0,0,0,0,0,0,0,2018-12-18 16:14:16 UTC,2019-03-18 20:20:28 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3755
3750,demobox,"Horizontal scroll bar obscured ""details"" in pipeline execution view",open,2,0,0,0,0,0,0,0,2018-12-17 21:51:58 UTC,2019-03-17 22:05:21 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3750
3747,lwander,Add moniker labels to Kubernetes V2 resources,open,2,0,0,0,0,0,0,0,2018-12-17 17:49:44 UTC,2019-03-17 17:55:23 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3747
3736,jareksm,Halyard deploy fails if kuberentes annotations have regex,open,2,0,0,0,0,0,0,0,2018-12-16 06:21:17 UTC,2019-03-16 06:25:19 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3736
3726,buntyray,ERROR Failed to connect to the Azure storage account,open,2,0,0,0,0,0,0,0,2018-12-14 03:14:37 UTC,2019-03-14 03:15:24 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3726
3709,abergmeier,Applications cannot be found,open,2,0,0,0,0,0,0,0,2018-12-11 17:08:12 UTC,2019-03-11 17:10:30 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3709
3706,rakewill,Container readiness check fails when client certificate authentication is set to NEED,open,2,0,0,0,0,0,0,0,2018-12-10 22:25:36 UTC,2019-03-13 18:00:41 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3706
3705,mali-conductor,Pipeline level notifications are not being honored when creating from templates,open,2,0,0,0,0,0,0,0,2018-12-10 21:42:43 UTC,2019-03-13 18:00:48 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3705
3682,PeterFCaswell,Spinnaker UI should display times of when an action was performed.,open,2,0,0,0,0,0,0,0,2018-12-03 16:30:37 UTC,2019-03-03 17:05:18 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3682
3677,axot,Access kubernetes api via proxy.,open,2,0,0,0,0,0,0,0,2018-11-30 08:02:57 UTC,2019-03-03 17:05:19 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3677
4286,bhaskar-chenchu,"Unable to configure SSL & SAML with Spinnaker 1.12.9/ 1.13.3 ",open,3,0,0,0,0,0,0,0,2019-04-15 12:30:16 UTC,2019-04-15 21:22:03 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4286
4279,benjaminws,Inconsistent AWS Cache in Clouddriver,open,3,0,0,0,0,0,0,0,2019-04-11 19:25:47 UTC,2019-04-15 13:15:27 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4279
4131,jSchnitzer1,Front50: Error starting Tomcat context. Exception,open,3,0,0,0,0,0,0,0,2019-03-17 22:47:59 UTC,2019-03-19 12:29:22 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4131
4111,seanpeters86,[OST] Cannot create or edit deploy stage in pipelines,open,3,0,0,0,0,0,0,0,2019-03-13 15:50:44 UTC,2019-04-01 15:38:05 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4111
4079,anup13kumar,Loadbalancer not sync with spinnaker,open,3,0,0,0,0,0,0,0,2019-03-07 04:11:17 UTC,2019-03-15 13:26:56 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4079
3997,JLLeitschuh,[SECURITY] Releases are built/executed/released in the context of insecure/untrusted code,open,3,0,0,0,0,0,0,0,2019-02-19 21:26:35 UTC,2019-03-27 04:24:58 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3997
3979,jmelchio,CF - destroy server group cluster name selection,open,3,0,0,0,0,0,0,0,2019-02-15 16:01:32 UTC,2019-04-01 16:05:34 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3979
3967,schefs,halyard dependencies services not pulling from custom docker registry on local BOM,open,3,0,0,0,0,0,0,0,2019-02-13 12:32:11 UTC,2019-03-05 12:34:37 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3967
3959,rebalag,Feat(clouddriver/halyard): Support larger number of accounts for Kubernetes Clouddriver,open,3,0,0,0,0,0,0,0,2019-02-11 20:28:27 UTC,2019-03-30 14:55:18 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3959
3931,danielmoorthy,Clouddriver account level enable/disable feature,open,3,0,0,0,0,0,0,0,2019-02-04 20:57:47 UTC,2019-03-23 21:25:16 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3931
3922,silvez-dh,Deploying manifest from k8s artifact returns retrofit.RetrofitError: 500,open,3,0,0,0,0,0,0,0,2019-02-01 16:49:06 UTC,2019-04-07 01:05:22 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3922
3891,sammic30,Shared VPC not found via any configured google account.,open,3,0,0,0,0,0,0,0,2019-01-28 23:39:19 UTC,2019-04-10 00:27:02 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3891
3870,okundzich,Enable CF rolling red/black SG deployment strategy,open,3,0,0,0,0,0,0,0,2019-01-21 14:01:12 UTC,2019-04-10 21:20:15 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3870
3861,sammic30,sudo bash InstallHalyard.sh is failing on Ubuntu 16.04,open,3,0,0,0,0,0,0,0,2019-01-17 22:04:53 UTC,2019-03-09 19:50:20 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3861
3850,WakeupTsai,Didn't create image pull secret and config it in pod yaml file automatically,open,3,0,0,0,0,0,0,0,2019-01-15 09:29:16 UTC,2019-03-27 17:15:31 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3850
3844,ezimanyi,Fiat takes a long time to become healthy if it starts up before front50,open,3,0,0,0,0,0,0,0,2019-01-12 00:35:42 UTC,2019-04-12 16:05:31 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3844
3832,ahsannaseem,Pipelines are unavailable to view | front50 deployment failing with missing aws credentials,open,3,0,0,0,0,0,0,0,2019-01-09 19:34:44 UTC,2019-04-15 19:40:33 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3832
3821,jmelchio,CF - SG capacity showing as N/A in pipeline screen,open,3,0,0,0,0,0,0,0,2019-01-07 15:09:34 UTC,2019-04-07 15:20:23 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3821
3819,kaybinwong,can notifications  support webhook?,open,3,0,0,0,0,0,0,0,2019-01-05 16:12:30 UTC,2019-04-14 20:35:24 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3819
3788,sp-click2cloud,How to enable new cloud provider in spinnaker?,open,3,0,0,0,0,0,0,0,2018-12-27 07:37:22 UTC,2019-04-04 14:20:41 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3788
3786,charles-d-burton,EKS Documentation,open,3,0,0,0,0,0,0,0,2018-12-26 21:18:54 UTC,2019-04-04 14:20:43 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3786
3769,WakeupTsai,Bake (manifest) stage not override the value which should be false right,open,3,0,0,0,0,0,0,0,2018-12-20 09:40:42 UTC,2019-03-29 00:55:24 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3769
